group_id,set,channel,exposure,replicate,zone,img_start,img_end,img_count,source,confidence,notes
S1-ch0-N2,1,0,N,2,—,4801,4806,6,pageA/pageB,high,"Top block, channel 0 (Cyrillic О), header time 20:11. Label 'О N2' at frame 4804. Contiguous 4801–4806; 4804 last digit retraced but unambiguous by sequence."
S1-ch0-N1,1,0,N,1,—,4807,4812,6,pageA/pageB,high,"Top block, channel О=0. Label 'О N1' at frame 4810 (minor correction mark between О and N1). Contiguous 4807–4812."
S1-ch0-P2,1,0,P,2,—,4813,4818,6,pageA/pageB,high,"Top block, channel О=0. Label 'О P2' at frame 4816. Contiguous 4813–4818."
S1-ch0-P1,1,0,P,1,—,4819,4825,6,pageA/pageB,high,"Top block, channel О=0. Label 'О P1' at frame 4822. Written extent 4819–4825; 4819 is STRUCK-THROUGH (treat as cancelled); 4824 struck then rewritten as 4824 (in-place correction). Effective non-struck values 4820–4825; img_start kept at written column start 4819 per convention. Known mark: '4819 struck'."
S1-ch17-N1,1,17,N,1,—,4826,4837,12,pageA/pageB,high,"Channel 17 block, header time 20:15. Label '17 N1'. Two written rows 4826–4831 / 4832–4837, contiguous. All 12 digits clear."
S1-ch17-P1-blk1,1,17,P,1,—,4838,4847,9,pageA/pageB,high,"17 P1, BLOCK 1 of 2 (group is non-contiguous; emitted as separate range; id suffix -blk1 disambiguates from -blk2). Range 4838–4847. Annotations: 4840 mark on last digit; 4841 & 4842 carry asterisk/marks above (numbers intact); 4847 STRUCK-THROUGH acting as block divider (ellipsis drawn between 4845 and 4847, 4846 implied), excluded from the 9 logged frames; IMG_4847.HEIC is present on disk (struck in journal but file exists, like an unlogged frame)."
S1-ch17-P2,1,17,P,2,—,4848,4869,20,pageA/pageB,high,"Label '17 P2'. Range 4848–4869, 20 logged frames after two journal skips at 4857 and 4868 (known mark: 'skips 4857 and 4868'). IMG_4857 is ABSENT on disk; IMG_4868 IS PRESENT on disk (4866–4870 contiguous) but the journal skipped logging it, so it stays unmapped like other present-but-unlogged frames (4847/5090/5142/5657). Count 20 is correct. Frames 4852 and 4853 circled together."
S1-ch17-N2,1,17,N,2,—,4870,4883,14,pageA/pageB,high,"Label '17 N2'. Two written rows 4870–4876 / 4877–4883, contiguous. Numerically out of sequence vs 17 P1/P2 but written this way in journal."
S1-ch19-P1,1,19,P,1,—,4884,4895,12,pageA/pageB,high,"Two lines 4884–4889 / 4890–4895, contiguous 12 numbers. Channel-19 start under header 20:42."
S1-ch19-P2,1,19,P,2,—,4896,4907,12,pageA/pageB,high,"Lines 4896–4901 / 4902–4907, 12 numbers. 4900 bold/retraced but unambiguously in sequence (4899→4900→4901)."
S1-ch19-N1,1,19,N,1,—,4908,4919,12,pageA/pageB,high,"Lines 4908–4913 / 4914–4919, 12 numbers. 4910 has a light self-correction mark on final digit but reads 4910 in sequence."
S1-ch19-N2,1,19,N,2,—,4920,4931,12,pageA/pageB,high,"Lines 4920–4925 / 4926–4931, 12 numbers. Channel-19 end at 4931; contiguous handoff to channel 21 (4931→4932)."
S1-ch21-P1,1,21,P,1,—,4932,4944,12,pageA/pageB,med,"Endpoint 4944 confirmed by contiguity into 21 P2 (4945). SKIP 4941 confirmed by disk: IMG_4941 absent (4940→4942 on disk). Range 4932–4944 with 4941 absent = 12 photos. Header 21:00. FLAG: disk-confirmed skip."
S1-ch21-P2,1,21,P,2,—,4945,4956,12,pageA/pageB,high,"Lines 4945–4950 / 4951–4956, 12 numbers. Contiguous with 21 P1 (4944→4945)."
S1-ch21-N1,1,21,N,1,—,4957,4968,12,pageA/pageB,high,"Lines 4957–4962 / 4963–4968, 12 numbers. Contiguous with 21 P2 (4956→4957)."
S1-ch21-N2,1,21,N,2,—,4969,4981,12,pageA/pageB,high,"SKIPS 4971 per journal structure: line1 4969 4970 4972 4973 4974 4975 (jumps 4970→4972), line2 4976–4981. 11 numbers, range 4969–4981 with 4971 absent. End value 4976 confirmed by sequence."
S1-ch17-P1-blk2,1,17,P,1,—,4983,4987,5,pageA/pageB,high,"17 P1, BLOCK 2 of 2 (same group, non-contiguous continuation after gap; id suffix -blk2 disambiguates from -blk1). Frames 4983 4984 4985 4986 4987, followed by heavily scribbled/struck-out ~4988 (cancelled; 4988 is a microscopy PNG on disk, not part of this block). Known mark: 'two blocks 4838–4847 then 4983–4987'."
S2-ch17-P1-b,2,17,P,1,белый,5070,5079,10,pageC,high,"Row1 '2 17 P1' col1. Clear; top anchor of table."
S2-ch17-P1-y,2,17,P,1,жёлтый,5080,5089,10,pageC,high,"Row1 col2 (header «жёлтый»). Clear."
S2-ch17-P2-y,2,17,P,2,жёлтый,5091,5099,9,pageC,high,"Row2 col2. Range 5091–5099. Gap 5090 before = documented unlogged single frame."
