bg_contrast,edge_density,file,focus_var,fov_area_px,mean_intensity,texture_energy,texture_occupancy
11.73,0.016,IMG_4801.jpg,8.3,305777,197.4,5.19,0.1109
9.0,0.01,IMG_4802.jpg,8.1,303809,179.1,4.259,0.075
9.28,0.0088,IMG_4803.jpg,8.1,305777,194.2,4.142,0.0874
10.22,0.006,IMG_4804.jpg,13.2,311709,174.6,4.4,0.1161
7.58,0.003,IMG_4805.jpg,7.9,305777,177.5,3.647,0.0797
8.9,0.0038,IMG_4806.jpg,7.8,307713,157.5,4.041,0.0952
7.22,0.0035,IMG_4807.jpg,7.7,307713,196.6,3.309,0.0344
7.14,0.0051,IMG_4808.jpg,8.2,305777,177.9,3.544,0.0478
7.16,0.0043,IMG_4809.jpg,8.2,305777,178.2,3.463,0.037
6.26,0.0029,IMG_4810.jpg,8.1,305777,178.0,3.23,0.0499
8.91,0.0015,IMG_4811.jpg,8.0,309681,157.7,3.889,0.0837
13.37,0.0309,IMG_4812.jpg,8.7,305777,176.2,6.713,0.1982
14.82,0.0297,IMG_4813.jpg,8.9,309681,178.5,7.08,0.186
14.71,0.0332,IMG_4814.jpg,8.6,305777,176.1,7.595,0.2384
14.58,0.0183,IMG_4815.jpg,8.2,307713,178.4,7.134,0.2317
14.26,0.0259,IMG_4816.jpg,8.8,307713,178.8,6.864,0.1932
16.01,0.0374,IMG_4817.jpg,9.7,307713,188.0,8.161,0.2303
16.89,0.0295,IMG_4818.jpg,8.6,305777,178.2,8.436,0.2769
13.21,0.0224,IMG_4820.jpg,8.7,307713,181.5,6.073,0.1487
12.97,0.0105,IMG_4821.jpg,8.1,307713,179.3,5.957,0.1692
12.75,0.0119,IMG_4822.jpg,8.2,307713,180.0,5.94,0.1635
12.37,0.0223,IMG_4823.jpg,8.6,307713,180.3,6.156,0.181
11.99,0.0187,IMG_4824.jpg,8.2,307713,190.1,5.689,0.1555
15.69,0.0319,IMG_4825.jpg,9.3,309681,187.5,7.644,0.2054
17.16,0.0297,IMG_4826.jpg,8.7,307713,157.8,8.159,0.2681
18.89,0.0292,IMG_4827.jpg,13.9,313677,169.2,8.904,0.2649
21.08,0.0327,IMG_4828.jpg,14.1,313677,169.2,10.15,0.2939
17.31,0.0353,IMG_4829.jpg,9.5,307713,183.8,8.619,0.2609
16.23,0.028,IMG_4830.jpg,8.7,307713,184.5,7.964,0.2286
18.88,0.0287,IMG_4831.jpg,13.5,315653,170.2,8.981,0.2421
19.48,0.0483,IMG_4832.jpg,9.8,307713,187.3,10.249,0.3097
17.35,0.0407,IMG_4833.jpg,9.9,307713,188.7,8.809,0.248
18.1,0.0414,IMG_4834.jpg,9.4,307713,187.1,9.208,0.2675
20.85,0.0428,IMG_4835.jpg,14.7,313677,170.2,10.448,0.3086
24.03,0.0638,IMG_4836.jpg,15.4,313677,167.2,13.5,0.4171
19.15,0.0472,IMG_4837.jpg,9.5,307713,185.2,10.117,0.3098
11.44,0.0063,IMG_4838.jpg,7.9,307713,188.7,5.016,0.1369
15.04,0.0228,IMG_4839.jpg,8.7,307713,190.7,6.554,0.1551
11.94,0.019,IMG_4840.jpg,9.0,307713,182.2,5.452,0.1274
11.79,0.017,IMG_4841.jpg,8.4,305777,180.3,5.565,0.1304
10.04,0.0045,IMG_4842.jpg,8.1,305777,183.0,4.452,0.1066
9.06,0.0081,IMG_4843.jpg,2.2,305777,182.1,4.276,0.0973
9.81,0.0117,IMG_4844.jpg,8.3,305777,182.4,4.582,0.0934
10.16,0.0091,IMG_4845.jpg,8.0,305777,181.2,4.828,0.1066
10.45,0.0098,IMG_4846.jpg,8.3,305777,181.7,4.827,0.1081
8.54,0.0012,IMG_4847.jpg,7.9,305777,182.1,3.878,0.0785
10.83,0.0084,IMG_4848.jpg,8.2,307713,196.4,4.276,0.0729
11.49,0.013,IMG_4849.jpg,8.3,305777,179.6,5.154,0.122
13.71,0.0196,IMG_4850.jpg,8.7,305777,178.6,6.186,0.1589
13.82,0.0166,IMG_4851.jpg,8.3,307713,190.0,5.717,0.1239
13.89,0.0137,IMG_4852.jpg,8.1,305777,179.1,5.792,0.142
14.0,0.0199,IMG_4853.jpg,8.3,305777,179.7,5.868,0.145
11.69,0.0111,IMG_4854.jpg,7.8,307713,190.3,5.012,0.1093
10.65,0.0118,IMG_4855.jpg,7.7,307713,190.4,4.637,0.0933
12.08,0.0144,IMG_4856.jpg,8.8,307713,183.3,5.329,0.1183
10.41,0.0109,IMG_4858.jpg,8.3,303809,178.1,4.614,0.087
20.83,0.042,IMG_4859.jpg,9.1,305777,187.2,8.816,0.2802
23.81,0.0581,IMG_4860.jpg,10.2,303809,184.9,11.058,0.3782
17.45,0.0297,IMG_4861.jpg,9.1,303809,179.2,7.429,0.2513
15.64,0.0208,IMG_4862.jpg,8.8,303809,180.9,6.459,0.1716
20.03,0.0442,IMG_4863.jpg,9.5,305777,189.8,9.136,0.2899
19.45,0.0314,IMG_4864.jpg,9.1,303809,178.0,8.328,0.2702
19.76,0.0327,IMG_4865.jpg,8.7,305777,191.1,7.901,0.2332
17.79,0.0277,IMG_4866.jpg,9.2,305777,193.5,6.954,0.2054
26.12,0.0623,IMG_4867.jpg,10.1,309681,144.0,15.936,0.3844
35.29,0.0648,IMG_4868.jpg,11.1,309681,166.3,16.123,0.4961
25.77,0.0351,IMG_4869.jpg,12.5,311709,176.3,10.332,0.3135
11.04,0.0154,IMG_4870.jpg,8.4,305777,194.8,4.941,0.1159
8.42,0.004,IMG_4871.jpg,7.9,305777,179.6,3.996,0.084
7.87,0.0026,IMG_4872.jpg,7.6,305777,179.2,3.73,0.0751
10.46,0.0144,IMG_4873.jpg,8.5,303809,180.0,4.83,0.1042
10.65,0.0147,IMG_4874.jpg,8.3,305777,179.5,5.114,0.1216
12.74,0.0163,IMG_4875.jpg,7.5,303809,177.0,5.838,0.1644
11.95,0.0163,IMG_4876.jpg,8.1,307713,190.7,5.504,0.1312
10.36,0.0159,IMG_4877.jpg,2.5,305777,180.2,4.913,0.1123
8.47,0.0081,IMG_4878.jpg,8.2,305777,180.7,4.225,0.079
10.56,0.0167,IMG_4879.jpg,8.2,305777,193.1,5.02,0.1204
9.2,0.0123,IMG_4880.jpg,8.0,303809,179.5,4.453,0.0879
12.66,0.0064,IMG_4881.jpg,13.9,313677,175.6,5.158,0.1388
13.45,0.0165,IMG_4882.jpg,8.8,303809,179.9,5.853,0.1557
13.91,0.0116,IMG_4883.jpg,7.9,307713,159.2,6.103,0.1774
17.66,0.0342,IMG_4884.jpg,9.1,305777,188.1,8.044,0.2394
17.9,0.0327,IMG_4885.jpg,9.6,307713,194.4,8.05,0.2289
14.94,0.024,IMG_4886.jpg,9.2,305777,196.5,6.662,0.173
14.26,0.0179,IMG_4887.jpg,8.8,307713,197.1,5.921,0.1532
20.28,0.0466,IMG_4888.jpg,10.8,307713,192.4,9.57,0.2857
16.76,0.0299,IMG_4889.jpg,9.1,307713,196.1,6.88,0.186
13.52,0.0194,IMG_4890.jpg,9.1,307713,198.1,5.733,0.1299
15.37,0.027,IMG_4891.jpg,9.5,307713,194.9,6.732,0.1772
17.06,0.0287,IMG_4892.jpg,9.8,307713,197.6,7.287,0.1834
11.34,0.0127,IMG_4893.jpg,8.8,305777,199.9,4.534,0.0886
12.84,0.0171,IMG_4894.jpg,8.9,307713,197.7,5.19,0.1168
11.95,0.015,IMG_4895.jpg,9.0,307713,197.9,4.909,0.1037
15.48,0.027,IMG_4896.jpg,9.7,307713,196.5,6.653,0.1688
15.39,0.0317,IMG_4897.jpg,9.5,307713,194.3,7.153,0.1949
14.97,0.0208,IMG_4898.jpg,8.7,307713,193.5,6.548,0.1853
13.78,0.022,IMG_4899.jpg,8.8,305777,181.1,6.315,0.1693
14.2,0.0167,IMG_4900.jpg,8.3,303809,181.1,6.225,0.1696
16.22,0.0329,IMG_4901.jpg,9.3,305777,194.0,7.424,0.208
11.72,0.0173,IMG_4902.jpg,8.0,305777,196.5,5.131,0.1239
13.88,0.0214,IMG_4903.jpg,9.0,305777,194.2,6.036,0.1435
15.59,0.0253,IMG_4904.jpg,8.8,307713,193.4,6.661,0.1784
13.93,0.0261,IMG_4905.jpg,8.9,307713,193.4,6.296,0.1707
12.49,0.0162,IMG_4906.jpg,8.5,307713,193.9,5.627,0.1397
15.51,0.0253,IMG_4907.jpg,8.5,307713,193.0,6.728,0.1736
10.37,0.0094,IMG_4908.jpg,8.1,307713,195.4,4.525,0.0976
12.28,0.0163,IMG_4909.jpg,9.1,307713,188.9,5.41,0.1285
10.53,0.0127,IMG_4910.jpg,8.7,307713,193.3,4.664,0.0904
11.8,0.0154,IMG_4911.jpg,9.2,307713,190.9,5.297,0.1164
