area_mean_px,area_median_px,aspect_ratio_mean,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,ecc_mean,ecc_median,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
411.9,410.0,1.1799,0.009,117,392.7,123.4,116.3,1.2314,0.1617,0.49,0.494,IMG_5070.jpg,139.9,297965,0.98,324.5,1100,cellpose,0.688,825
382.6,360.0,1.342,0.049,81,284.6,114.3,115.6,1.1346,0.1089,0.6183,0.6201,IMG_5071.jpg,64.8,284565,0.979,317.4,1100,cellpose,0.688,825
334.9,292.0,1.3773,0.043,70,244.4,113.0,120.9,1.1129,0.0818,0.629,0.6405,IMG_5072.jpg,61.0,286453,0.97,317.9,1100,cellpose,0.688,825
396.2,362.0,1.3676,0.034,58,197.2,118.6,113.9,1.1018,0.0781,0.6286,0.6466,IMG_5073.jpg,99.0,294137,0.976,322.9,1100,cellpose,0.688,825
439.1,430.0,1.2557,0.025,161,573.3,95.7,143.6,1.2623,0.2518,0.5717,0.5798,IMG_5074.jpg,78.6,280817,0.977,315.5,1100,cellpose,0.688,825
392.5,403.0,1.2469,0.033,92,312.8,115.6,119.8,1.0947,0.1228,0.5308,0.5441,IMG_5075.jpg,108.1,294137,0.979,322.9,1100,cellpose,0.688,825
351.4,300.0,1.3262,0.028,72,244.8,123.0,119.7,1.167,0.086,0.5893,0.5907,IMG_5076.jpg,93.6,294137,0.98,322.4,1100,cellpose,0.688,825
370.0,336.5,1.2974,0.029,138,469.2,118.0,114.1,1.2337,0.1736,0.574,0.5887,IMG_5077.jpg,118.4,294137,0.981,322.6,1100,cellpose,0.688,825
445.3,442.0,1.2861,0.007,146,499.7,108.4,137.4,1.2822,0.2225,0.5806,0.5773,IMG_5078.jpg,112.8,292201,0.977,321.5,1100,cellpose,0.688,825
306.9,292.5,1.3599,0.009,108,364.8,134.4,107.1,1.1604,0.112,0.6237,0.6598,IMG_5079.jpg,88.6,296025,0.976,323.4,1100,cellpose,0.688,825
403.3,400.5,1.2337,0.011,88,303.2,118.2,121.4,1.0678,0.1223,0.5388,0.5308,IMG_5100.jpg,89.9,290273,0.979,320.7,1100,cellpose,0.688,825
411.4,392.0,1.2279,0.02,149,509.9,114.4,128.9,1.1982,0.2098,0.5345,0.5458,IMG_5101.jpg,119.5,292201,0.977,321.9,1100,cellpose,0.688,825
445.1,427.0,1.2334,0.02,147,506.4,112.1,134.8,1.2588,0.2254,0.5411,0.5478,IMG_5102.jpg,110.8,290273,0.978,320.7,1100,cellpose,0.688,825
393.6,387.5,1.2039,0.012,166,571.9,115.7,127.4,1.2608,0.2251,0.5105,0.5226,IMG_5103.jpg,119.9,290273,0.98,320.6,1100,cellpose,0.688,825
406.5,384.0,1.2091,0.02,149,513.3,114.7,129.7,1.2517,0.2087,0.5162,0.5178,IMG_5104.jpg,112.7,290273,0.977,320.7,1100,cellpose,0.688,825
351.8,340.0,1.3168,0.041,97,332.0,119.2,120.8,1.0734,0.1168,0.5989,0.6303,IMG_5105.jpg,97.4,292201,0.98,321.2,1100,cellpose,0.688,825
434.0,432.0,1.2604,0.007,136,459.4,112.0,139.2,1.1734,0.1994,0.568,0.5835,IMG_5106.jpg,95.1,296025,0.981,323.3,1100,cellpose,0.688,825
313.2,278.0,1.4432,0.065,77,265.3,122.3,117.9,0.9456,0.0831,0.6776,0.6901,IMG_5107.jpg,93.2,290273,0.977,321.0,1100,cellpose,0.688,825
328.2,304.0,1.3699,0.063,79,270.4,122.9,116.7,0.9758,0.0887,0.6453,0.6762,IMG_5108.jpg,93.9,292201,0.977,321.4,1100,cellpose,0.688,825
346.2,315.0,1.3508,0.057,106,365.2,116.9,124.1,1.093,0.1264,0.6054,0.6159,IMG_5109.jpg,102.7,290273,0.98,320.8,1100,cellpose,0.688,825
325.6,292.0,1.4498,0.086,81,304.5,138.4,104.1,1.0813,0.0991,0.6768,0.7142,IMG_5110.jpg,50.9,266025,0.981,307.3,1100,cellpose,0.688,825
352.2,303.0,1.3251,0.031,65,219.6,138.5,108.0,1.0373,0.0773,0.6111,0.6385,IMG_5111.jpg,76.6,296025,0.98,323.8,1100,cellpose,0.688,825
364.6,353.5,1.4207,0.074,108,364.8,132.2,113.1,1.1016,0.133,0.654,0.6892,IMG_5112.jpg,85.3,296025,0.978,324.0,1100,cellpose,0.688,825
423.4,406.0,1.2216,0.011,177,613.7,118.5,131.8,1.2962,0.2598,0.5419,0.5619,IMG_5113.jpg,110.0,288413,0.98,319.7,1100,cellpose,0.688,825
415.9,399.5,1.2388,0.006,168,567.5,116.3,133.7,1.2324,0.236,0.5459,0.5575,IMG_5114.jpg,98.3,296025,0.981,324.1,1100,cellpose,0.688,825
396.9,383.5,1.2266,0.037,160,540.5,117.1,129.6,1.2007,0.2145,0.5286,0.5207,IMG_5115.jpg,108.7,296025,0.978,323.8,1100,cellpose,0.688,825
430.5,411.5,1.1938,0.028,72,243.2,124.8,126.2,1.0898,0.1047,0.5125,0.491,IMG_5116.jpg,78.7,296025,0.982,323.9,1100,cellpose,0.688,825
573.3,572.0,1.2833,0.0,44,149.6,108.9,146.3,1.0806,0.0858,0.5841,0.61,IMG_5117.jpg,69.1,294137,0.976,323.1,1100,cellpose,0.688,825
414.8,414.0,1.1707,0.029,103,350.2,123.9,122.3,1.105,0.1453,0.4772,0.471,IMG_5118.jpg,85.0,294137,0.983,322.9,1100,cellpose,0.688,825
388.0,378.0,1.312,0.018,111,372.5,125.5,116.3,1.1506,0.1446,0.5878,0.6097,IMG_5119.jpg,86.0,297965,0.98,324.7,1100,cellpose,0.688,825
517.6,501.0,1.2872,0.0,55,187.0,109.1,145.8,1.1276,0.0968,0.589,0.5808,IMG_5120.jpg,67.4,294137,0.976,322.6,1100,cellpose,0.688,825
409.8,404.5,1.2556,0.041,146,496.4,129.1,110.7,1.2629,0.2034,0.5493,0.5495,IMG_5143.jpg,114.2,294137,0.977,322.8,1100,cellpose,0.688,825
650.5,662.5,1.2738,0.041,74,251.6,114.2,134.3,1.2049,0.1637,0.57,0.5974,IMG_5144.jpg,76.4,294137,0.977,323.1,1100,cellpose,0.688,825
427.4,425.5,1.2344,0.0,54,183.6,121.2,124.2,0.9585,0.0785,0.5335,0.5266,IMG_5145.jpg,73.1,294137,0.988,322.2,1100,cellpose,0.688,825
441.3,442.0,1.1222,0.023,43,147.2,118.4,130.4,1.0566,0.0649,0.4015,0.3992,IMG_5146.jpg,77.3,292201,0.986,321.9,1100,cellpose,0.688,825
477.5,459.0,1.2066,0.0,84,289.4,106.0,152.6,1.2029,0.1382,0.5348,0.5473,IMG_5147.jpg,87.5,290273,0.982,320.5,1100,cellpose,0.688,825
450.3,453.5,1.213,0.024,82,284.3,117.2,128.6,1.0907,0.128,0.5147,0.5196,IMG_5148.jpg,74.3,288413,0.984,319.3,1100,cellpose,0.688,825
628.0,630.0,1.2721,0.0,65,225.4,102.8,154.5,1.1763,0.1415,0.5836,0.5966,IMG_5149.jpg,72.4,288413,0.975,319.8,1100,cellpose,0.688,825
